充,昌終,tɕhjowŋ,會意,,𠫓人,昌終,美也塞也行也滿也昌終切七,,昌,通,東,三,開,平,充,,𠫓爲倒子（與𡿮爲倒㜽可相參照），𠫓是充㐬流棄弃𡿮育毓的部件
珫,昌終,tɕhjowŋ,,充,玉,,珫耳玉名詩傳云充耳謂之瑱字俗從玉,,昌,通,東,三,開,平,充,,
茺,昌終,tɕhjowŋ,,充,艸,,茺蔚草也,,昌,通,東,三,開,平,充,,
㤝,昌終,tɕhjowŋ,,充,心,,心動,,昌,通,東,三,開,平,充,,
䘪,昌終,tɕhjowŋ,,充,衣,,䘪襌衣也,,昌,通,東,三,開,平,充,,
𪎽,昌終,tɕhjowŋ,,充,黃,,黃色又音統,,昌,通,東,三,開,平,充,,
㳘,昌終,tɕhjowŋ,,充,水,,水聲,,昌,通,東,三,開,平,充,,
隆,力中,ljowŋ,,降,生,力中,盛也豐也大也力中切六,,來,通,東,三,開,平,夅,,降省聲
癃,力中,ljowŋ,,隆,疒,,病也亦作𤸇,,來,通,東,三,開,平,夅,,
𪔳,力中,ljowŋ,,隆,鼓,,鼓聲俗作𪔴,,來,通,東,三,開,平,夅,,
窿,力中,ljowŋ,,隆,穴,,穹隆天勢俗加穴,,來,通,東,三,開,平,夅,,
霳,力中,ljowŋ,,隆,雨,,豐隆雷師俗加雨,,來,通,東,三,開,平,夅,,
㚅,力中,ljowŋ,,夅,生,,多㚅礼天,,來,通,東,三,開,平,夅,,夅省聲
空,苦紅,khowŋ,,工,穴,苦紅,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,,溪,通,東,一,開,平,工,,
箜,苦紅,khowŋ,,空,竹,,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,,溪,通,東,一,開,平,工,,
崆,苦紅,khowŋ,,空,山,,崆峒,,溪,通,東,一,開,平,工,,
椌,苦紅,khowŋ,,空,木,,器物朴也又丘江切,,溪,通,東,一,開,平,工,,
硿,苦紅,khowŋ,,空,石,,硿青色石也,,溪,通,東,一,開,平,工,,
䅝,苦紅,khowŋ,,空,禾,,稻稈,,溪,通,東,一,開,平,工,,
悾,苦紅,khowŋ,,空,心,,悾悾信也愨也,,溪,通,東,一,開,平,工,,
埪,苦紅,khowŋ,,空,土,,土埪龕也,,溪,通,東,一,開,平,工,,
倥,苦紅,khowŋ,,空,人,,倥侗,,溪,通,東,一,開,平,工,,
涳,苦紅,khowŋ,,空,水,,涳濛小雨又口江切,,溪,通,東,一,開,平,工,,
鵼,苦紅,khowŋ,,空,鳥,,怪鳥出字統,,溪,通,東,一,開,平,工,,
